loc_rowid,toi,tid,tfopwg_disp
630,1531.01,312678993,APC
631,1532.01,327579226,PC
632,1533.01,345143460,PC
633,1533.02,345143460,PC
634,1534.01,354600221,FP
635,1535.01,420288086,FP
636,1536.01,445137888,FP
637,1537.01,173612049,PC
638,1538.01,177244357,PC
639,1539.01,252636888,FP
640,154.01,389525208,FP
641,1540.01,318746829,FP
642,1541.01,319068154,FP
643,1542.01,367607434,FA
644,1543.01,431585347,FP
645,1544.01,455791689,PC
646,1545.01,127425841,FP
647,1546.01,194203348,PC
648,1547.01,409520860,FP
649,1548.01,440100539,FA
650,1549.01,191146556,FP
651,155.01,129637892,PC
652,1550.01,241065596,FP
653,1551.01,288348498,PC
654,1552.01,326919774,FP
655,1553.01,327341626,APC
656,1554.01,299158887,KP
657,1555.01,441732151,FP
658,1556.01,405794804,FP
659,1557.01,320506985,FP
660,1558.01,117322779,FP
661,1559.01,241040309,PC
662,156.01,220518305,FP
663,1560.01,241076290,PC
664,1561.01,245462406,FP
665,1562.01,249862365,FP
666,1563.01,249945230,PC
667,1564.01,250724252,APC
668,1565.01,251384275,PC
669,1566.01,256414077,FP
670,1567.01,259151170,FP
671,1568.01,284050395,FP
672,1569.01,285666479,FP
673,157.01,140691463,CP
674,1570.01,285674856,FP
675,1571.01,285677945,FP
676,1572.01,292321872,FP
677,1573.01,302773669,KP
678,1574.01,307111282,FP
679,1575.01,316254876,FP
680,1576.01,327011842,FP
681,1577.01,332154944,FP
682,1578.01,348135793,FP
683,1579.01,354400186,FP
684,158.01,403136413,FP
685,1580.01,354469661,KP
686,1581.01,370759867,FP
687,1582.01,374400599,FP
688,1583.01,403256331,FP
689,1584.01,418987806,FP
690,1585.01,444415148,FP
691,1586.01,445144327,PC
692,1587.01,458914949,FP
693,1588.01,50120414,PC
694,1589.01,52041724,FP
695,159.01,394657039,CP
696,1590.01,71854745,FP
697,1591.01,82010657,FP
698,1592.01,186599508,FP
699,1593.01,192372961,FP
700,1594.01,201154493,FP
701,1595.01,385105624,FP
702,1596.01,431899140,FP
703,1597.01,68152139,FP
704,1598.01,67418624,PC
705,1599.01,129979528,KP
706,160.01,253917293,FP
707,1600.01,187029841,FP
708,1601.01,139375960,CP
709,1602.01,129991079,FA
710,1603.01,73448352,KP
711,1604.01,118301361,FP
712,1605.01,101037590,CP
713,1606.01,125735470,APC
714,1607.01,26433869,FP
715,1608.01,138017750,FP
716,1609.01,229951289,FA
717,161.01,348770361,PC
718,1610.01,219776325,PC
719,1611.01,264678534,CP
720,1612.01,268403451,KP
721,1613.01,272625214,FP
722,1614.01,317397615,FP
723,1615.01,317507345,FP
724,1616.01,322054600,PC
725,1617.01,322202434,FP
726,1618.01,376838000,FP
727,1619.01,377144784,FP
728,162.01,99493790,APC
729,1620.01,378291076,PC
730,1621.01,387260717,PC
731,1622.01,388076005,FP
732,1623.01,407394748,FP
733,1624.01,461387302,FP
734,1625.01,470852531,FP
735,1626.01,157586003,KP
736,1627.01,424435940,KP
737,1628.01,284475976,KP
738,1629.01,310003988,KP
739,163.01,179317684,CP
740,1630.01,317597583,CP
741,1631.01,29054413,APC
742,1632.01,51024887,FP
743,1633.01,165551882,FA
744,1634.01,201186294,CP
745,1635.01,230086768,FP
746,1636.01,269892793,FP
747,1637.01,286355915,FP
748,1638.01,312862941,PC
749,1639.01,348673213,FP
750,164.01,79395355,FP
751,1640.01,396562848,CP
752,1641.01,422923265,PC
753,1642.01,229940491,APC
754,1643.01,298647682,PC
755,1644.01,22843856,FP
756,1645.01,184679932,FP
757,1646.01,387527558,FA
758,1647.01,154927364,FP
759,1648.01,376353509,CP
760,1649.01,116608612,FP
761,165.01,350743714,FP
762,1650.01,122485078,FP
763,1651.01,138168780,KP
764,1652.01,154867950,FP
765,1653.01,156724719,PC
766,1654.01,258829450,PC
767,1655.01,266500992,PC
768,1656.01,267694283,APC
769,1657.01,27677846,FP
770,1658.01,286561122,FP
771,1659.01,288631580,CP
772,1659.02,288631580,PC
773,166.01,147203645,PC
774,1660.01,311121985,FP
775,1661.01,312122956,FP
776,1662.01,339538183,FP
777,1663.01,353367071,FP
778,1664.01,353782445,PC
779,1665.01,354006740,FP
780,1666.01,368536386,FP
781,1667.01,409183335,FP
782,1668.01,417705690,FP
783,1669.01,428679607,CP
784,167.01,149990841,PC
785,1670.01,441739020,CP
786,1670.02,441739020,CP
787,1670.03,441739020,PC
788,1671.01,459903429,FA
789,1672.01,468828873,FP
790,1673.01,470315428,FP
791,1674.01,73104318,FP
792,1675.01,81831095,PC
793,1676.01,8400842,KP
794,1677.01,87090944,PC
795,1678.01,96291218,FP
796,1679.01,9837861,FP
797,168.01,369457671,PC
798,1680.01,259168516,CP
799,1681.01,321041369,PC
800,1682.01,367366318,KP
801,1683.01,58542531,CP
802,1684.01,85031598,PC
803,1685.01,28900646,CP
804,1686.01,102672709,PC
805,1687.01,103448870,PC
806,1688.01,121966220,FP
807,1689.01,198384408,FA
808,169.01,183120439,CP
809,1690.01,267574918,CP
810,1691.01,268334473,CP
811,1692.01,288636342,PC
812,1692.02,288636342,PC
813,1693.01,353475866,CP
814,1694.01,396740648,CP
815,1695.01,422756130,CP
816,1696.01,470381900,CP
817,1697.01,1884091865,PC
818,1698.01,190223929,PC
819,1699.01,22705558,PC
820,170.01,394698182,PC
821,1700.01,23650642,FP
822,1701.01,274215536,PC
823,1702.01,371210825,FP
824,1703.01,453387619,PC
825,1704.01,95129101,FP
826,1705.01,137500798,FP
827,1706.01,230377505,PC
828,1706.02,230377505,PC
829,1707.01,240148934,FP
830,1708.01,241173474,APC
831,1709.01,29119552,PC
832,171.01,309257814,PC
833,171.02,309257814,FP
834,1710.01,445805961,CP
835,1711.01,461662295,FP
836,1712.01,67926921,FP
837,1713.01,15863518,PC
838,1714.01,239154970,KP
839,1715.01,142090065,FP
840,1716.01,14336130,CP
841,1717.01,149833117,PC
842,1718.01,257241363,PC
843,1719.01,293617835,PC
844,172.01,29857954,CP
845,1720.01,356473034,KP
846,1721.01,51234631,KP
847,1722.01,85242435,PC
848,1723.01,71431780,CP
849,1724.01,81212286,FP
850,1725.01,86396382,KP
851,1726.01,130181866,CP
852,1726.02,130181866,CP
853,1727.01,241225337,PC
854,1728.01,285048486,CP
855,1729.01,298666530,FP
856,173.01,270341214,PC
857,173.02,270341214,PC
858,1730.01,318022259,CP
859,1730.02,318022259,CP
860,1730.03,318022259,CP
861,1731.01,371234684,KP
862,1732.01,470987100,PC
863,1733.01,53427308,FP
864,1734.01,224596152,PC
865,1735.01,365673804,PC
866,1736.01,408618999,CP
867,1737.01,233009109,PC
868,1738.01,104208182,PC
869,1739.01,159418353,CP
870,174.01,425997655,CP
871,174.02,425997655,CP
872,174.03,425997655,CP
873,174.04,425997655,CP
874,174.05,425997655,CP
875,1740.01,174041208,PC
876,1741.01,198206613,PC
877,1742.01,219857012,CP
